C0007189,C0003850,C0002962
C0007189,C0002963,C0348588
C0007189,C0042420,C0042571
C0007189,C0042420,C1710621
C0007189,C0235522,C0235524
C0007189,C0038454,C0036572
C0007189,C0002965,C0002962
C0007189,C0020452,C0027424
C0007189,C0020452,C0029625
C0007189,C0020452,C0034915
C0007189,C0151744,C0002962
C0007189,C0151744,C0002962
C0007189,C0151744,C0348588
C0007189,C0542052,C0002962
C0007189,C0020541,C0037089
C0007189,C0007222,C0013404
C0007189,C0007222,C0029854
C0007189,C0007222,C0159049
C0007189,C0007222,C0553668
C0007189,C0018799,C0002962
C0007189,C0155797,C0238576
C0007189,C0684338,C0002962
C0007189,C0042373,C0002962
C0007189,C0042373,C0016382
C0007189,C0042373,C0235218
C0007189,C0042373,C0235524
C0007189,C0018801,C0002962
C0007189,C0151950,C0238883
C0007189,C0034150,C0241144
C0007189,C0728936,C0002962
C0007189,C0728936,C0016382
C0007189,C0728936,C0235218
C0007189,C0728936,C0235524
C0007189,C0038644,C0003578
C0007189,C0038644,C0003578
C0007189,C0035302,C0149793
C0007189,C1860518,C0018989
C0007189,C1860518,C0036572
C0007189,C0010068,C0002962
C0007189,C0041834,C0005874
C0007189,C0041834,C0014034
C0007189,C0041834,C0015230
C0007189,C0041834,C0027424
C0007189,C0041834,C0029625
C0007189,C0041834,C0034915
C0007189,C0553690,C0149793
C0007189,C0553690,C0149996
C0007189,C0553690,C0149997
C0007189,C0020538,C0002962
C0007189,C0010054,C0002962
C0007189,C0027051,C0002962
C0007189,C0027051,C0002962
C0007189,C1956346,C0002962
C0007189,C1956346,C0002962
C0007189,C0234437,C0259813
C0007189,C0234437,C0312422
C0007189,C0007787,C0149793
C0011627,C0033860,C0521160
C0011627,C0037274,C0037285
C0011627,C0037274,C0015230
C0011627,C0037274,C0014034
C0011627,C0024141,C0036572
C0011627,C0549201,C0157725
C0011627,C0011606,C0015230
C0011627,C0022593,C0702164
C0011627,C0032633,C0085641
C0011627,C0549202,C0157725
C0011627,C0011603,C0015230
C0011627,C0029788,C0221232
C0011627,C0024138,C0542174
C0011627,C0041834,C0005874
C0011627,C0041834,C0014034
C0011627,C0041834,C0015230
C0011627,C0041834,C0027424
C0011627,C0041834,C0029625
C0011627,C0041834,C0034915
C0011627,C0011644,C0241920
C0014137,C0271583,C0022346
C0014137,C0014130,C0235792
C0014137,C1833053,C0011991
C0014137,C0010481,C0332601
C0014137,C0235660,C0149741
C0014137,C0001622,C0332601
C0014137,C0001529,C0003862
C0014137,C0001529,C0009806
C0014137,C0001529,C0015672
C0014137,C0001529,C0037317
C0014137,C0001529,C0150055
C0014137,C0001529,C0231528
C0014137,C0001529,C1291077
C0014137,C0011854,C0032617
C0014137,C0011854,C0085602
C0014137,C0687720,C0032617
C0014137,C0687720,C0085602
C0017163,C0034882,C0033775
C0017163,C0034882,C0034886
C0017163,C0011168,C0037089
C0017163,C0011168,C0221727
C0017163,C0011168,C0232520
C0017163,C0011168,C0392678
C0017163,C0011168,C0476288
C0017163,C0011168,C0546947
C0017163,C0149745,C1579838
C0017163,C0017155,C0013395
C0017163,C2750804,C0424810
C0017163,C0038354,C0000737
C0017163,C0038354,C0013395
C0017163,C0038354,C0027498
C0017163,C0038354,C0596601
C0017163,C0017160,C0011991
C0017163,C0017160,C0027498
C0017163,C0017160,C0000729
C0017163,C0017160,C0392176
C0017163,C0015732,C2921133
C0017163,C0015732,C0037089
C0017163,C0015732,C0011991
C0017163,C0040409,C0017672
C0017163,C0017154,C0013395
C0017163,C0149518,C0013395
C0017163,C0241426,C0030193
C0017163,C0241426,C0234230
C0017163,C0241426,C0877494
C0017163,C0259817,C0151908
C0017163,C0152020,C0037089
C0017163,C0152020,C0086525
C0017163,C0023895,C0022346
C0017163,C0023895,C0679314
C0017163,C0023895,C0022346
C0017163,C0031142,C0000737
C0017163,C0010346,C0000737
C0017163,C0010346,C0011991
C0017163,C0017178,C0266836
C0017163,C0017178,C0000729
C0017163,C0017178,C0014724
C0017163,C0017178,C0016204
C0017163,C0017178,C0016205
C0017163,C0017178,C0027497
C0017163,C0017178,C0034886
C0017163,C0017178,C0159058
C0017163,C0017178,C0159061
C0017163,C0017178,C0232462
C0017163,C0017178,C0232487
C0017163,C0017178,C0232492
C0017163,C0017178,C0232495
C0017163,C0017178,C0235234
C0017163,C0017178,C0235299
C0017163,C0017178,C0344375
C0017163,C0017178,C0426576
C0017163,C0017178,C0451633
C0017163,C0017178,C0476288
C0017163,C0017178,C0948484
C0017163,C0017178,C1291077
C0017163,C0017178,C1291078
C0017163,C0021933,C0037089
C0017163,C0031099,C0023533
C0017163,C0031099,C0333274
C0017163,C0036494,C0027497
C0017163,C0036494,C0728950
C0017163,C0007971,C0451633
C0017163,C0007971,C0858557
C0017163,C0277525,C0011991
C0017163,C0277525,C0011991
C0017163,C0014868,C0221727
C0017163,C0017675,C0017672
C0017163,C1258215,C0426649
C0017163,C1258215,C0848337
C0017163,C0024523,C0011991
C0017163,C0024523,C0011991
C0017163,C0017168,C0018834
C0017163,C0017168,C0013395
C0017163,C0017168,C0018834
C0017163,C0267112,C0013395
C0017163,C0017677,C0017672
C0017163,C0003462,C0948484
C0017163,C0553735,C0023533
C0017163,C0553735,C0333274
C0017163,C0017152,C0013395
C0017163,C0014740,C0015230
C0017163,C0014740,C0017672
C0017163,C0014740,C4551694
C0017163,C0022104,C0009806
C0017163,C0729555,C0011991
C0017163,C0038362,C0221776
C0017163,C0038362,C0521486
C0017163,C0038362,C0542218
C0017402,C1832949,C0000737
C0017402,C0004135,C0027066
C0017402,C0004135,C0036572
C0017402,C0004135,C0040822
C0017402,C0016719,C0027066
C0017402,C0002895,C0000737
C0017402,C0271583,C0022346
C0017402,C0020758,C0702164
C0017402,C0162635,C0009806
C0017402,C0162635,C0036572
C0017402,C0162635,C0235081
C0017402,C0043194,C0011991
C0017402,C0043194,C0018926
C0017402,C0043194,C0241144
C0017402,C0221036,C0011991
C0017402,C0221036,C0040822
